"garden_yr","garden_yr_richness","garden_yr_diversity","garden_yr_total_cover","garden_yr_wild_richness","garden_yr_wild_diversity","garden_yr_wild_total_cover","garden_yr_cult_richness","garden_yr_cult_diversity","garden_yr_cult_total_cover","garden","city","impervious_1000","year","round","garden_yr_beta","garden_yr_beta_wild","garden_yr_beta_cult"
"SFM_2020",15.1666666666667,6.466066911571,50.0833333333333,10.8333333333333,7.12556291560731,24.5833333333333,4.33333333333333,2.53649369874935,25.75,"SFM","Berlin",27.82,2020,1,0.933942365825353,0.82983253189145,0.957133549941831
"SFM_2021",12.4375,6.53951407371822,57.40625,8.40625,5.49311434946072,29.09375,3.78125,2.56950038640465,27.1875,"SFM","Berlin",27.82,2021,1,0.949772570058766,0.909636914144588,0.955726662320862
"SFM_2022",7.75,4.8249985625,22.96875,5.4375,3.93922542498411,12.125,1.96875,1.47320417754539,10.28125,"SFM","Berlin",27.82,2022,1,0.942899387640952,0.924584329661091,0.948200789993991
"SFM_2023",15,6.96104847826087,71.7826086956522,10.0869565217391,6.27523458943921,37.6086956521739,4.60869565217391,2.78227290575922,38.8695652173913,"SFM","Berlin",27.82,2023,1,0.944075782327991,0.896886861206232,0.958657076329743
"SG_2021",8.5625,5.30080395695064,55.25,5.71875,3.91758130603743,30.34375,2.84375,1.96751635987026,25.0625,"SG","Munich",63.95,2021,1,0.932699965388007,0.898725723572206,0.964022288457298
"SG_2022",7.58064516129032,4.41186409677419,33.9677419354839,4.06451612903226,2.7155502367283,12.741935483871,3.16129032258065,2.13846145826605,18.741935483871,"SG","Munich",63.95,2022,1,0.962720266254128,0.942933376661027,0.955298642756679
"SG_2023",8.05555555555556,4.9972305,44.4444444444444,5,3.07732160218088,23.5555555555556,3,2.29680432032804,20.8333333333333,"SG","Munich",63.95,2023,1,0.945290403000524,0.913333727064153,0.949302413302846
"SS_2021",9.35897435897436,5.00272783793417,56.974358974359,5.8974358974359,3.91606189190951,25.3589743589744,3.05128205128205,2.16391157644929,30.3589743589744,"SS","Munich",25.32,2021,1,0.937458774016483,0.876081911125419,0.972278474602873
"SS_2022",8.05,4.6340726,37.8,5.175,3.67553839285377,17.475,2.55,1.86005846035253,18.475,"SS","Munich",25.32,2022,1,0.942827681823545,0.897593079937686,0.971536763882288
"SS_2023",9.75,5.4640931,54,6,4.40537528531982,20.35,3.1,2.1686321149023,31.7,"SS","Munich",25.32,2023,1,0.947622266809822,0.916710474102108,0.954459742353717
"VG_2020",8.07142857142857,4.54297174162469,25.7857142857143,6,4.28254364389067,11.6428571428571,2.07142857142857,1.46539037233674,14.1428571428571,"VG","Berlin",90.32,2020,1,0.936903950137373,0.904878196308768,0.91240844721564
"VG_2021",7.05882352941176,4.9540681883874,27.2941176470588,4.52941176470588,3.39946938677689,13.6470588235294,2.52941176470588,1.93972330343782,13.6470588235294,"VG","Berlin",90.32,2021,1,0.925546777538939,0.923622130321706,0.900415541979639
"VG_2022",5.30769230769231,3.55778284615385,16.9230769230769,3,2.49905737466572,5.53846153846154,1.92307692307692,1.37305755947304,10.3076923076923,"VG","Berlin",90.32,2022,1,0.946509282332487,0.919106493541755,0.92335057218058
"VG_2023",6.9375,3.8133844375,27.625,5.5625,3.37528779478912,19.4375,1,0.676527300496372,6.6875,"VG","Berlin",90.32,2023,1,0.925582483490336,0.927437929264913,0.85808994766942
"WG_2021",4,2.81557218000138,18,3,2.21753377331546,10,1,0.862156748723913,8,"WG","Munich",70.68,2021,1,0.915386197507876,0.916319981783315,0.896634960917738
"WG_2022",5.08333333333333,2.95731991666667,21.9166666666667,1.75,1.58011695906433,2.58333333333333,2.83333333333333,1.73140235602453,18.4166666666667,"WG","Munich",70.68,2022,1,0.935308136503319,0.915528087076869,0.90040173695624
"WL_2020",9.875,5.06650812118633,43.2083333333333,7.91666666666667,5.35559238723915,18.4583333333333,1.95833333333333,1.28354687081098,27.125,"WL","Berlin",55.67,2020,1,0.929351067955587,0.902316737258055,0.939905322441156
"WL_2021",8.87096774193548,5.16334367254438,59,7.2258064516129,4.53600357077644,41.8387096774194,1.54838709677419,1.10568089604859,15.4516129032258,"WL","Berlin",55.67,2021,1,0.927349864841842,0.903789884106706,0.952223278106756
"WL_2022",8.38709677419355,5.4276025483871,34.4516129032258,5.80645161290323,4.18097361013643,19.7741935483871,2.12903225806452,1.75047245635678,10.9677419354839,"WL","Berlin",55.67,2022,1,0.942110204778403,0.920050406561557,0.936087809232252
"WL_2023",9.4,5.1742566,63,6.48,3.959558226632,41.48,2.28,1.65083782658411,23.4,"WL","Berlin",55.67,2023,1,0.856616257810496,0.796290365314098,0.941201074745134
"WS_2020",9.20833333333333,3.75209696129561,37.9583333333333,6.29166666666667,4.53178574413691,11.75,2.91666666666667,1.62184142481613,26.2083333333333,"WS","Berlin",49.43,2020,1,0.945040581162987,0.932765056249185,0.94091419711421
"WS_2021",6.93333333333333,3.70683781617176,51.2666666666667,4.73333333333333,3.00587915614454,21.7,2.1,1.62568121673522,29.7333333333333,"WS","Berlin",49.43,2021,1,0.945379122843533,0.924856160273862,0.940428615972547
"WS_2022",6.09677419354839,3.73129351612903,24,3.87096774193548,2.80473607889933,10.258064516129,2.06451612903226,1.65679325314041,13.4193548387097,"WS","Berlin",49.43,2022,1,0.968150120776285,0.944234777546204,0.964684820635925
"WS_2023",11.8695652173913,5.75802039130435,54.304347826087,9.56521739130435,5.7326514889064,33.6521739130435,2.08695652173913,1.46725531900999,20.4347826086957,"WS","Berlin",49.43,2023,1,0.942997628119724,0.907417629751989,0.964324049442581
"ZKU_2022",9.48148148148148,5.13338518518519,41.1481481481481,6.03703703703704,3.77002578533609,17.7777777777778,2.66666666666667,1.92900737969533,18.8888888888889,"ZKU","Berlin",83,2022,1,0.92939464382659,0.897877059106861,0.957287814668113
"ZKU_2023",13.8695652173913,7.2280537826087,54.0869565217391,10.7826086956522,5.71614812931312,41.2173913043478,1.8695652173913,1.36513113767571,15.695652173913,"ZKU","Berlin",83,2023,1,0.902551707127239,0.864499422062043,0.957537462469673
